ID,NEIGHBOURHOOD_NAME,LOCATION_TYPE,SPECIES_BOTANICAL,SPECIES_COMMON,GENUS,SPECIES,CULTIVAR,DIAMETER_BREAST_HEIGHT,CONDITION_PERCENT,PLANTED_DATE,OWNER,LATITUDE,LONGITUDE,LOCATION,COUNT,geometry
528027.0,Downtown,Park,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,NaNN,5.0,70.0,2016-06-01,Parks,53.544642261718295,-113.510840042629,"(53.5446422617183, -113.510840042629)",1.0,POINT (-113.510840042629 53.54464226171829)
528015.0,Downtown,Park,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,NaNN,7.0,70.0,2016-06-01,Parks,53.5445374873051,-113.51025151177299,"(53.5445374873051, -113.510251511773)",1.0,POINT (-113.510251511773 53.5445374873051)
528014.0,Downtown,Park,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,NaNN,7.0,70.0,2016-06-01,Parks,53.544542042674706,-113.51013856631201,"(53.5445420426747, -113.510138566312)",1.0,POINT (-113.510138566312 53.54454204267471)
528012.0,Downtown,Park,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,NaNN,7.0,70.0,2016-06-01,Parks,53.5445946821404,-113.51024916658999,"(53.5445946821404, -113.51024916659)",1.0,POINT (-113.51024916659 53.5445946821404)
543891.0,Windermere,Park,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,NaNN,8.0,70.0,2015-06-01,Parks,53.4442986430075,-113.616834828377,"(53.4442986430075, -113.616834828377)",1.0,POINT (-113.616834828377 53.4442986430075)
338978.0,Aldergrove,Park,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,Golden Spice,5.0,70.0,2010-06-01,Parks,53.51644622733811,-113.646581953,"(53.5164462273381, -113.646581953)",1.0,POINT (-113.646581953 53.51644622733811)
488352.0,Greenfield,Buffer,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,Golden Spice,7.0,70.0,2009-06-01,Parks,53.469940617660704,-113.516780450073,"(53.4699406176607, -113.516780450073)",1.0,POINT (-113.516780450073 53.4699406176607)
488365.0,Greenfield,Buffer,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,Golden Spice,7.0,70.0,2009-06-01,Parks,53.4687725323227,-113.516789612817,"(53.4687725323227, -113.516789612817)",1.0,POINT (-113.516789612817 53.4687725323227)
500826.0,McCauley,Park,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,Golden Spice,2.0,70.0,2014-06-01,Parks,53.553419621812495,-113.485269400718,"(53.5534196218125, -113.485269400718)",1.0,POINT (-113.485269400718 53.55341962181249)
488648.0,Blue Quill,Buffer,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,Golden Spice,8.0,70.0,2009-06-01,Parks,53.457557044300096,-113.516934355597,"(53.4575570443001, -113.516934355597)",1.0,POINT (-113.516934355597 53.4575570443001)
488353.0,Greenfield,Buffer,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,Golden Spice,7.0,70.0,2009-06-01,Parks,53.4698108571494,-113.51678808034401,"(53.4698108571494, -113.516788080344)",1.0,POINT (-113.516788080344 53.4698108571494)
488358.0,Greenfield,Buffer,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,Golden Spice,7.0,70.0,2009-06-01,Parks,53.4694263321,-113.516776030743,"(53.4694263321, -113.516776030743)",1.0,POINT (-113.516776030743 53.4694263321)
338976.0,Aldergrove,Park,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,Golden Spice,5.0,70.0,2010-06-01,Parks,53.5166149161273,-113.64659506040701,"(53.5166149161273, -113.646595060407)",1.0,POINT (-113.646595060407 53.5166149161273)
338977.0,Aldergrove,Park,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,Golden Spice,5.0,70.0,2010-06-01,Parks,53.51652842032951,-113.64659215236601,"(53.5165284203295, -113.646592152366)",1.0,POINT (-113.646592152366 53.51652842032951)
500825.0,McCauley,Park,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,Golden Spice,2.0,70.0,2014-06-01,Parks,53.553419868744,-113.485326783543,"(53.553419868744, -113.485326783543)",1.0,POINT (-113.485326783543 53.553419868744)
488647.0,Blue Quill,Buffer,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,Golden Spice,8.0,70.0,2009-06-01,Parks,53.457593075094096,-113.51695297081899,"(53.4575930750941, -113.516952970819)",1.0,POINT (-113.516952970819 53.4575930750941)
500819.0,McCauley,Park,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,Golden Spice,2.0,70.0,2014-06-01,Parks,53.5534543349418,-113.485278262447,"(53.5534543349418, -113.485278262447)",1.0,POINT (-113.485278262447 53.5534543349418)
489071.0,Rideau Park,Buffer,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,Golden Spice,9.0,70.0,2009-06-01,Parks,53.4771880316647,-113.51598893624701,"(53.4771880316647, -113.515988936247)",1.0,POINT (-113.515988936247 53.4771880316647)
489072.0,Rideau Park,Buffer,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,Golden Spice,9.0,70.0,2009-06-01,Parks,53.477207128292996,-113.515990601269,"(53.477207128293, -113.515990601269)",1.0,POINT (-113.515990601269 53.477207128293)
444310.0,Duggan,Buffer,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,Golden Spice,10.0,70.0,2009-06-01,Parks,53.4662171957722,-113.515196134692,"(53.4662171957722, -113.515196134692)",1.0,POINT (-113.515196134692 53.4662171957722)
432425.0,Steinhauer,Buffer,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,Golden Spice,8.0,70.0,2009-06-01,Parks,53.4657259056038,-113.515187003575,"(53.4657259056038, -113.515187003575)",1.0,POINT (-113.515187003575 53.4657259056038)
435400.0,Steinhauer,Buffer,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,Golden Spice,7.0,70.0,2009-06-01,Parks,53.4652713899837,-113.515760496673,"(53.4652713899837, -113.515760496673)",1.0,POINT (-113.515760496673 53.4652713899837)
488646.0,Blue Quill,Buffer,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,Golden Spice,7.0,70.0,2009-06-01,Parks,53.4577218675159,-113.516980045457,"(53.4577218675159, -113.516980045457)",1.0,POINT (-113.516980045457 53.4577218675159)
500818.0,McCauley,Park,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,Early gold,2.0,70.0,2014-06-01,Parks,53.5534210398307,-113.48513182631399,"(53.5534210398307, -113.485131826314)",1.0,POINT (-113.485131826314 53.5534210398307)
500816.0,McCauley,Park,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,Early gold,2.0,70.0,2014-06-01,Parks,53.5534222555266,-113.48518075828899,"(53.5534222555266, -113.485180758289)",1.0,POINT (-113.485180758289 53.5534222555266)
147560.0,Bellevue,Boulevard,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,Ure,6.0,70.0,2016-06-01,Parks,53.569845633616,-113.445143023426,"(53.569845633616, -113.445143023426)",1.0,POINT (-113.445143023426 53.569845633616)
147555.0,Bellevue,Boulevard,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,Ure,6.0,70.0,2016-06-01,Parks,53.5697492355979,-113.44556011525499,"(53.5697492355979, -113.445560115255)",1.0,POINT (-113.445560115255 53.5697492355979)
147646.0,Bellevue,Boulevard,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,Ure,6.0,70.0,2016-06-01,Parks,53.5698956198494,-113.44495439051599,"(53.5698956198494, -113.444954390516)",1.0,POINT (-113.444954390516 53.5698956198494)
147554.0,Bellevue,Boulevard,Pyrus usseriensis,"Pear, Ussurian",Pyrus,usseriensis,Ure,6.0,70.0,2016-06-01,Parks,53.569702638951995,-113.44574870247101,"(53.569702638952, -113.445748702471)",1.0,POINT (-113.445748702471 53.56970263895199)
500822.0,McCauley,Park,Prunus salicina,"Plum, Chinese",Prunus,salicina,Brookgold,2.0,70.0,2014-06-01,Parks,53.553428970537794,-113.485456635131,"(53.5534289705378, -113.485456635131)",1.0,POINT (-113.485456635131 53.55342897053779)
500820.0,McCauley,Park,Prunus salicina,"Plum, Chinese",Prunus,salicina,Brookgold,2.0,70.0,2014-06-01,Parks,53.553449652561596,-113.485241187243,"(53.5534496525616, -113.485241187243)",1.0,POINT (-113.485241187243 53.5534496525616)
500821.0,McCauley,Park,Prunus salicina x nigra,"Plum, Hybrid",Prunus,salicina,Pembina,2.0,70.0,2014-06-01,Parks,53.553443976859505,-113.485440418798,"(53.5534439768595, -113.485440418798)",1.0,POINT (-113.485440418798 53.5534439768595)
530297.0,Glengarry,Buffer,Prunus salicina x nigra,"Plum, Hybrid",Prunus,salicina,Pembina,6.0,70.0,2016-06-01,Parks,53.599405934197996,-113.474321962585,"(53.599405934198, -113.474321962585)",1.0,POINT (-113.474321962585 53.599405934198)
139151.0,North Glenora,Boulevard,Prunus x,Cherry,Prunus,x,Apricot,18.0,60.0,1990-01-01,Parks,53.5516719326889,-113.556726899776,"(53.5516719326889, -113.556726899776)",1.0,POINT (-113.556726899776 53.5516719326889)
